CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2568,2444,916,5928,1567,1538,476,3581,1314,1303,380,2997
ALL,ANNE ARUNDEL,Statewide,48041,19957,19741,87739,26280,10598,8868,45746,14203,5684,4552,24439
ALL,BALTIMORE CITY,Statewide,57118,3860,8013,68991,23120,1336,2054,26510,13148,780,1096,15024
ALL,BALTIMORE COUNTY,Statewide,74756,21964,19367,116087,37252,10802,7334,55388,27390,7991,5117,40498
ALL,CALVERT,Statewide,6411,3966,2649,13026,3623,2084,1192,6899,1937,1112,646,3695
ALL,CAROLINE,Statewide,997,820,441,2258,594,472,223,1289,418,316,146,880
ALL,CARROLL,Statewide,9709,7815,4435,21959,5376,4144,1966,11486,3224,2518,1173,6915
ALL,CECIL,Statewide,4128,3943,1962,10033,2230,2001,894,5125,0,0,0,0
ALL,CHARLES,Statewide,13512,3064,3137,19713,6851,1655,1277,9783,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1758,913,443,3114,1022,520,197,1739,0,0,0,0
ALL,FREDERICK,Statewide,21688,8534,8087,38309,10794,4074,3360,18228,9261,3496,2828,15585
ALL,GARRETT,Statewide,960,1287,369,2616,596,732,181,1509,260,338,77,675
ALL,HARFORD,Statewide,13909,9089,6002,29000,7787,5033,2717,15537,5057,3216,1723,9996
ALL,HOWARD,Statewide,32547,7846,11558,51951,16567,3815,4798,25180,13887,3185,3919,20991
ALL,KENT,Statewide,1445,627,389,2461,956,358,193,1507,620,259,121,1000
ALL,MONTGOMERY,Statewide,119785,19214,34468,173467,50938,7924,11808,70670,26647,4285,6015,36947
ALL,PRINCE GEORGE'S,Statewide,85101,5816,13299,104216,41375,2597,4442,48414,31902,1982,3144,37028
ALL,QUEEN ANNE'S,Statewide,2758,2147,1196,6101,1592,1224,621,3437,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5561,3706,2410,11677,3120,1917,1090,6127,2496,1487,838,4821
